# lifecycle trace v1
# frame	phase	type	object	instanceId
578	OnUninitializing	CameraComponent	MainCamera	1884244133
578	OnEndSimulation	LightComponent	SunLight	3946905068
578	OnRemovingFromScene	LightComponent	SunLight	3946905068
578	OnUninitializing	LightComponent	SunLight	3946905068
578	OnEndSimulation	LightComponent	FillLight	2359663533
578	OnRemovingFromScene	LightComponent	FillLight	2359663533
578	OnUninitializing	LightComponent	FillLight	2359663533
578	OnEndSimulation	MeshRenderer	Mesh01	1712233588
578	OnRemovingFromScene	MeshRenderer	Mesh01	1712233588
578	OnUninitializing	MeshRenderer	Mesh01	1712233588
578	OnEndSimulation	MeshRenderer	Mesh02	1912393657
578	OnRemovingFromScene	MeshRenderer	Mesh02	1912393657
578	OnUninitializing	MeshRenderer	Mesh02	1912393657
578	OnEndSimulation	MeshRenderer	Mesh03	2795263208
578	OnRemovingFromScene	MeshRenderer	Mesh03	2795263208
578	OnUninitializing	MeshRenderer	Mesh03	2795263208
578	OnEndSimulation	MeshRenderer	Mesh04	3137442394
578	OnRemovingFromScene	MeshRenderer	Mesh04	3137442394
578	OnUninitializing	MeshRenderer	Mesh04	3137442394
578	OnEndSimulation	MeshRenderer	Mesh05	3635013342
578	OnRemovingFromScene	MeshRenderer	Mesh05	3635013342
578	OnUninitializing	MeshRenderer	Mesh05	3635013342
578	OnEndSimulation	MeshRenderer	Mesh06	2714334196
578	OnRemovingFromScene	MeshRenderer	Mesh06	2714334196
578	OnUninitializing	MeshRenderer	Mesh06	2714334196
578	OnEndSimulation	MeshRenderer	Mesh07	3991657909
578	OnRemovingFromScene	MeshRenderer	Mesh07	3991657909
578	OnUninitializing	MeshRenderer	Mesh07	3991657909
578	OnEndSimulation	MeshRenderer	Mesh08	3185019741
578	OnRemovingFromScene	MeshRenderer	Mesh08	3185019741
578	OnUninitializing	MeshRenderer	Mesh08	3185019741
578	OnEndSimulation	MeshRenderer	Mesh09	828641849
578	OnRemovingFromScene	MeshRenderer	Mesh09	828641849
578	OnUninitializing	MeshRenderer	Mesh09	828641849
578	OnEndSimulation	MeshRenderer	Mesh10	928807466
578	OnRemovingFromScene	MeshRenderer	Mesh10	928807466
578	OnUninitializing	MeshRenderer	Mesh10	928807466
578	OnEndSimulation	MeshRenderer	Mesh11	2018740670
578	OnRemovingFromScene	MeshRenderer	Mesh11	2018740670
578	OnUninitializing	MeshRenderer	Mesh11	2018740670
578	OnEndSimulation	MeshRenderer	Mesh12	2159693712
578	OnRemovingFromScene	MeshRenderer	Mesh12	2159693712
578	OnUninitializing	MeshRenderer	Mesh12	2159693712
578	OnEndSimulation	ScriptComponent	ScriptHostA	2111251757
578	OnRemovingFromScene	ScriptComponent	ScriptHostA	2111251757
578	OnUninitializing	ScriptComponent	ScriptHostA	2111251757
579	OnInitialized	CameraComponent	MainCamera	3941016583
579	OnAddedToScene	CameraComponent	MainCamera	3941016583
579	OnInitialized	LightComponent	SunLight	213107178
579	OnAddedToScene	LightComponent	SunLight	213107178
579	OnInitialized	LightComponent	FillLight	3844228977
579	OnAddedToScene	LightComponent	FillLight	3844228977
579	OnInitialized	MeshRenderer	Mesh01	248996555
579	OnAddedToScene	MeshRenderer	Mesh01	248996555
579	OnInitialized	MeshRenderer	Mesh02	777958667
579	OnAddedToScene	MeshRenderer	Mesh02	777958667
579	OnInitialized	MeshRenderer	Mesh03	3063076316
579	OnAddedToScene	MeshRenderer	Mesh03	3063076316
579	OnInitialized	MeshRenderer	Mesh04	2114983186
579	OnAddedToScene	MeshRenderer	Mesh04	2114983186
579	OnInitialized	MeshRenderer	Mesh05	316566465
579	OnAddedToScene	MeshRenderer	Mesh05	316566465
579	OnInitialized	MeshRenderer	Mesh06	1892530650
579	OnAddedToScene	MeshRenderer	Mesh06	1892530650
579	OnInitialized	MeshRenderer	Mesh07	1024273333
579	OnAddedToScene	MeshRenderer	Mesh07	1024273333
579	OnInitialized	MeshRenderer	Mesh08	890436894
579	OnAddedToScene	MeshRenderer	Mesh08	890436894
579	OnInitialized	MeshRenderer	Mesh09	3524528192
579	OnAddedToScene	MeshRenderer	Mesh09	3524528192
579	OnInitialized	MeshRenderer	Mesh10	3982528116
579	OnAddedToScene	MeshRenderer	Mesh10	3982528116
579	OnInitialized	MeshRenderer	Mesh11	1699453543
579	OnAddedToScene	MeshRenderer	Mesh11	1699453543
579	OnInitialized	MeshRenderer	Mesh12	3108902952
579	OnAddedToScene	MeshRenderer	Mesh12	3108902952
